name,nickname,birth_date,death_date,place,cause_of_death,description
Marissa Cooper,,1988-11-23,2006-05-18,Newport Beach,Car accident,"Troubled teenager who died in a car crash on the night of her high school graduation."
Arthur Morgan,,1863-06-22,1899-10-17,Ambarino,Tuberculosis,"Outlaw who died from tuberculosis after helping John Marston escape the Van der Linde gang."
Charlotte York,,1966-01-23,2020-06-15,Manhattan,Heart attack,"New York socialite who died from a sudden heart attack while dining at a restaurant."
Patroclus,,Unknown,-1190-08-03,Troy,Spear wound,"Achilles' companion who was killed by Hector while wearing Achilles' armor."
Zoi Washburne,,2475-02-15,2519-01-05,Haven,Shot,"Second-in-command aboard Serenity who was killed during a Reaver attack."
Abigail Hobbs,,1996-09-25,2014-03-19,Minnesota,Throat slit,"Daughter of a serial killer who bled to death after her throat was cut by Hannibal Lecter."
Bruno Antony,,1923-04-10,1951-07-12,Amusement Park,Shot,"Psychopath who was shot by police after trying to frame Guy Haines for murder."
Phil Coulson,,1964-07-08,2012-05-04,Helicarrier,Stabbed,"S.H.I.E.L.D. agent who was killed by Loki during the Chitauri invasion."
Deb Morgan,,1979-12-21,2013-09-02,Miami,Life support removed,"Miami Metro detective who was shot and became brain dead."
Becca Moody,,1993-05-04,2009-05-11,Los Angeles,Drowning,"Daughter of Hank Moody who drowned in a swimming pool."
Jack Morrison,Soldier: 76,2030-06-14,2070-05-23,Switzerland,Explosion,"Overwatch commander presumed dead after an explosion at the organization's headquarters."
Rita Bennett,,1975-03-18,2008-12-13,Miami,Bathtub,"Trinity Killer victim who was found dead in a bathtub filled with her blood."
Wash,Hoban Washburne,2468-09-20,2518-07-13,Haven,Impaled,"Pilot of Serenity who was killed when Reavers fired a harpoon through the ship's windshield."
Brian O'Conner,,1978-07-14,2015-11-30,Los Angeles,Car accident,"Former FBI agent and street racer who retired to raise his family."
The Mother,Tracy McConnell,1984-09-19,2024-11-15,New York,Illness,"Bass player in a band who met and married Ted Mosby but died from an illness."
Beth Greene,,1994-08-30,2014-11-30,Grady Memorial Hospital,Shot in head,"Farmer's daughter who was accidentally shot in the head during a hostage exchange."
Charlie Pace,,1979-12-08,2007-12-21,Looking Glass Station,Drowning,"Rock musician and drug addict who drowned after warning the survivors about a freighter."
Eddard Stark,Ned,1260-01-12,1298-09-15,King's Landing,Beheaded,"Lord of Winterfell who was executed for treason after discovering royal secrets."
Jesse Pinkman,,1984-09-24,2010-09-07,Albuquerque,Shot,"Former meth cook who was killed in a drug deal gone wrong."
Leslie Burke,,1995-03-10,2008-05-12,Terabithia,Drowned,"Fifth-grader who died when a rope swing broke over a creek, leading to her drowning."
V,,Unknown,2020-11-05,London,Shot multiple times,"Masked revolutionary who died during his final confrontation with government forces."
Madison Clark,,1969-11-12,2018-06-10,Baseball Stadium,Self-sacrifice,"Mother who sacrificed herself to save her children and friends from a zombie horde."
Frank Castle Jr.,,2010-08-22,2015-12-10,Central Park,Shot,"Son of Frank Castle who was killed during a gang shootout in the park."
Renly Baratheon,,1277-06-03,1299-04-29,Storm's End,Shadow assassination,"Youngest Baratheon brother who was killed by a shadow creature summoned by Melisandre."
Paul Woodrugh,,1984-11-10,2015-08-23,Vinci,Ambushed,"California Highway Patrol officer who was killed in an ambush set by corrupt cops."
Wilson,Spalding,Unknown,2007-11-13,South Pacific,Lost at sea,"Volleyball companion to Chuck Noland who was lost during an escape attempt."
